llm_model_name,entity_name,input_tokens,output_tokens,cost_dollars,elapsed_time_llm_seconds
claude-3-haiku-20240307,OrderStatus,231,60,0.00013275,1.3414027690887451
claude-3-haiku-20240307,EcommerceApplication,3356,329,0.00125025,3.774853467941284
claude-3-haiku-20240307,OrderRepository,1459,66,0.00044725,2.29355788230896
claude-3-haiku-20240307,CategoryRepository,1459,95,0.0004835,2.483844757080078
claude-3-haiku-20240307,Product,5077,628,0.00205425,6.145637273788452
claude-3-haiku-20240307,ProductRepository,1459,66,0.00044725,1.121929407119751
claude-3-haiku-20240307,Order,5134,536,0.0019535,5.968383312225342
claude-3-haiku-20240307,Category,5026,445,0.0018127500000000001,8.954351663589478
claude-3-haiku-20240307,ProductQueryResolver,3268,244,0.001122,3.055344820022583
claude-3-haiku-20240307,ProductMutationResolver,3269,250,0.00112975,3.299978494644165
claude-3-haiku-20240307,CategoriesController,3271,245,0.001124,3.0354671478271484
claude-3-haiku-20240307,OrdersController,3271,243,0.0011215,10.49973726272583
,TOTALS,36280,3207,0.01307875,51.974488258361816
