llm_model_name,entity_name,input_tokens,output_tokens,cost_dollars,elapsed_time_llm_seconds
claude-3-haiku-20240307,OrderStatus,231,60,0.00013275,1.0100946426391602
claude-3-haiku-20240307,EcommerceApplication,3356,349,0.0012752500000000001,4.3831095695495605
claude-3-haiku-20240307,OrderRepository,1459,66,0.00044725,3.8600010871887207
claude-3-haiku-20240307,Category,5026,445,0.0018127500000000001,5.876031160354614
claude-3-haiku-20240307,Order,5134,536,0.0019535,6.17260217666626
claude-3-haiku-20240307,ProductRepository,1459,66,0.00044725,1.166381597518921
claude-3-haiku-20240307,CategoryRepository,1459,95,0.0004835,4.366472959518433
claude-3-haiku-20240307,Product,5077,628,0.00205425,9.43642258644104
claude-3-haiku-20240307,OrdersController,3271,243,0.0011215,3.0498640537261963
claude-3-haiku-20240307,ProductQueryResolver,3268,244,0.001122,3.3089585304260254
claude-3-haiku-20240307,ProductMutationResolver,3269,250,0.00112975,3.230186700820923
claude-3-haiku-20240307,CategoriesController,3271,245,0.001124,9.303189516067505
,TOTALS,36280,3227,0.01310375,55.16331458091736
