llm_model_name,entity_name,input_tokens,output_tokens,cost_dollars,elapsed_time_llm_seconds
claude-3-haiku-20240307,OrderStatus,231,60,0.00013275,1.0231783390045166
claude-3-haiku-20240307,EcommerceApplication,2542,236,0.0009305,3.0456864833831787
claude-3-haiku-20240307,OrderRepository,1459,66,0.00044725,2.544931173324585
claude-3-haiku-20240307,CategoryRepository,1459,95,0.0004835,1.3110005855560303
claude-3-haiku-20240307,ProductRepository,1459,66,0.00044725,1.203113317489624
claude-3-haiku-20240307,Category,3612,280,0.001253,4.603734731674194
claude-3-haiku-20240307,Order,5157,375,0.001758,6.383940696716309
claude-3-haiku-20240307,OrdersController,2293,159,0.000772,2.7924275398254395
claude-3-haiku-20240307,ProductQueryResolver,2290,160,0.0007725,2.514848232269287
claude-3-haiku-20240307,Product,6344,470,0.0021735,9.611476421356201
claude-3-haiku-20240307,CategoriesController,5548,675,0.00223075,8.34642767906189
claude-3-haiku-20240307,ProductMutationResolver,5537,692,0.00224925,8.259619235992432
,TOTALS,37931,3334,0.013650250000000001,51.64038443565369
